a,b,c
0,5000.0,0
0.506,4245.854056439706,1
1.012,2433.4048239601975,2
2.53,765.3848944685332,5
2.024,591.6716207129095,4
1.518,544.9283714069953,3
3.036,365.84857768055105,6
2.235,289.38624461392607,8
0.0315,247.99953034656346,?
0.5375,247.9342541534507,?
1.729,234.76887430568553,9
0.801,234.54236805574578,14
0.0155,215.90389198616717,?
0.4905,198.82756785027877,?
0.1,197.80829232114456,?
0.0415,197.36876050268086,?
0.295,196.43596886605832,13
0.029,196.18204268739632,?
0.062,196.07605542983924,?
0.0925,192.32768003077697,?
