0,5000.0,0
0.062,337.3143780560129,?
0.0905,204.8925211576836,?
0.122,213.0001997281214,20
0.2475,764.7295747169069,11
0.3075,201.21649559805226,?
0.338,230.30931798856517,?
0.431,203.2509751036006,?
0.616,213.5061255188082,2
1.2325,883.007550638463,4
1.325,209.81307829200048,?
1.355,228.43593947234783,16
1.4185,217.11909440180693,?
1.4785,266.4812526769709,15
1.5085,229.67156536785686,?
1.5395,225.88439168082348,?
1.5415,234.36759166129121,?
1.601,938.1113032208949,5
1.662,262.85559751871654,?
1.694,231.41600412118578,?
1.7225,235.3633820400642,25
1.726,220.8564048528372,26
1.788,204.3063443036702,?
1.8485,811.1020936380061,6
1.909,288.59456206779083,?
1.9105,221.74647177311314,?
2.586,405.1925501908173,12
2.743,217.42906650674777,?
2.7715,274.70726584134036,?
2.7725,207.4436565849036,?
2.8335,3970.610307783348,1
2.8955,255.87568448500235,?
2.9555,201.59389202281565,21
3.0185,200.72129512842753,?
3.081,696.841779319793,10
3.1415,221.2920588478195,?
