a,b,c
0,5000.0,0
0.229,1001.1665871531586,1
0.4585,729.7922225236562,2
1.146,380.3930818811717,5
0.018,374.4965316066919,192
0.012,340.5136671721727,?
0.032,332.931953610607,?
0.2555,329.91899223553645,?
0.028,310.803845390377,?
0.2525,291.8976069734195,?
0.0385,291.2096804685698,?
0.0245,286.37647289956243,?
1.8335,283.1370844776255,8
0.0415,278.34269258422404,?
0.0465,275.05065869903206,?
0.271,260.28083924465255,?
0.2105,260.1407168226734,191
0.184,245.6396950814901,?
0.1745,241.64022879259113,?
0.0635,240.31454715519968,?
