a,b,c
$\ulam{1}{3}$,-1.08931e-10, X^8 - 4*X^7 + 6*X^6 - 7*X^5 + X^4 + X^3 + 9*X^2 + 21*X + 6
             ,2.362181e-10, -10*X^7 + 11*X^6 + 23*X^5 + 5*X^4 - 2*X^3 - 7*X^2 + 8*X + 13
 	     ,2.645901e-10, -5*X^9 + 11*X^8 + 4*X^7 - 6*X^6 - 7*X^5 - 2*X^4 + 8*X^3 + 7*X^2 + 4*X + 3
	     ,-1.57945e-9, 10*X^5 - 22*X^4 - 9*X^3 + 10*X^2 - 15*X + 78
	     ,-1.69486e-9, -4*X^6 - 10*X^5 + 31*X^4 + 24*X^3 + 2*X^2 + 3*X - 16
	     ,1.280555e-8, -5*X^4 + 24*X^3 - 2*X^2 - 55*X - 9
	     ,1.451128e-8, 59*X^3 - 62*X^2 - 209*X + 125
	     ,-2.28533e-7, 244*X^2 - 629*X + 195
$\ulam{2}{3}$,-6.62616e-11, 3*X^8 - 15*X^7 + X^6 - 36*X^5 - 20*X^4 + 2*X^3 - 8*X^2 - 19*X + 26
             ,-8.77801e-10, 2*X^9 - 11*X^8 + 2*X^7 - 4*X^6 - 6*X^5 + 16*X^4 - 6*X^3 + 18*X^2 + 17*X + 3
	     ,-1.40767e-9, -7*X^7 + 34*X^6 + 22*X^5 - 11*X^4 + 4*X^3 + 16*X^2 + 38*X - 27
	     ,4.832173e-9, 10*X^6 - 53*X^5 - 4*X^4 - 7*X^3 + 8*X^2 + 11*X - 64
	     ,7.147349e-9, -10*X^5 + 56*X^4 - 27*X^3 + 78*X^2 + 52*X - 63
	     ,-1.30012e-8, 33*X^4 - 163*X^3 - 77*X^2 - 7*X - 72
	     ,-2.16906e-8, -3*X^3 - 85*X^2 + 412*X + 721
	     ,-1.97790e-7, 674*X^2 - 3366*X - 1451
$\ulam{5}{8}$,-1.74331e-11, 5*X^9 - 27*X^8 + 10*X^7 - 14*X^6 + 3*X^5 - 4*X^4 - 10*X^3 - 10*X^2 + X + 11
             ,-1.21683e-10, -3*X^7 + 16*X^6 + 5*X^5 - 48*X^4 + 30*X^3 - 19*X^2 + X + 19
