     1	1
     2	2
     3	3
     4	4
     5	8
     6	13
     7	18
     8	26
     9	36
    10	47
    11	53
    12	57
    13	69
    14	97
    15	102
    16	180
    17	206
    18	273
    19	316
    20	339
    21	356
    22	400
    23	483
    24	983
    25	1023
    26	1155
    27	1308
    28	2581
    29	3038
    30	3205
    31	3723
    32	4118
    33	6322
    34	6862
    35	8368
    36	9193
    37	10247
    38	10269
    39	10831
    40	11586
    41	12060
    42	13531
    43	14892
    44	20643
    45	22149
    46	23883
    47	29731
    48	30315
    49	33274
    50	34073
    51	37493
    52	39653
    53	39776
    54	39912
    55	42217
    56	44816
    57	47920
    58	56437
    59	60665
    60	63646
    61	69608
    62	75706
    63	78270
    64	95616
    65	123683
    66	128969
    67	139128
    68	142276
    69	149454
    70	162041
    71	177104
    72	190389
    73	207454
    74	265318
    75	268176
    76	302451
    77	303272
    78	311157
    79	324297
    80	328099
    81	332441
    82	349247
    83	698415
    84	727527
    85	965713
    86	1036581
    87	1086876
    88	1464537
    89	1513594
    90	2623282
    91	2626004
