a,b,c
0,5000.0,0
2.8335,3970.610307783348,1
1.601,938.1113032208949,5
1.2325,883.007550638463,4
1.8485,811.1020936380061,6
0.2475,764.7295747169069,11
3.081,696.841779319793,10
2.586,405.1925501908173,12
0.062,337.3143780560129,?
1.909,288.59456206779083,?
2.7715,274.70726584134036,?
1.4785,266.4812526769709,15
1.662,262.85559751871654,?
2.8955,255.87568448500235,?
1.7225,235.3633820400642,25
1.5415,234.36759166129121,?
1.694,231.41600412118578,?
0.338,230.30931798856517,?
1.5085,229.67156536785686,?
1.355,228.43593947234783,16
